kosher_date,href,post_title,business_type,wrap_address,wrap_congregation,wrap_phone
1727827200,https://rabanut.co.il/business/%d7%90%d7%99%d7%a6%d7%99%d7%a7-%d7%95%d7%a8%d7%95%d7%aa%d7%99/,איציק ורותי,מזנון בשרי/חלבי,פרישמן 42,,
1727827200,https://rabanut.co.il/business/%d7%90%d7%99%d7%a6%d7%99%d7%a7-%d7%a2%d7%95%d7%a3-%d7%91%d7%92%d7%a8%d7%99%d7%9c/,איציק עוף בגריל,מסעדה בשרית,ירמיהו 52,,
1727827200,https://rabanut.co.il/business/%d7%90%d7%99%d7%a9-%d7%94%d7%90%d7%aa%d7%a8%d7%95%d7%92%d7%99%d7%9d-2/,איש האתרוגים,חנות מיצים,הלל הזקן 18,,
1727827200,https://rabanut.co.il/business/%d7%90%d7%9c-%d7%93%d7%a0%d7%98%d7%94/,אל דנטה,מסעדה חלבית,ויצמן 14,,
1727827200,https://rabanut.co.il/business/%d7%90%d7%9c%d7%95%d7%94%d7%94/,אלוהה,מזנון בשרי,קלמן מגן 3,,
1727827200,https://rabanut.co.il/business/%d7%90%d7%9c%d7%95%d7%a3-%d7%94%d7%a1%d7%91%d7%99%d7%97/,אלוף הסביח,מסעדה בשרית,קרליבך 18,,
1727827200,https://rabanut.co.il/business/%d7%90%d7%9c%d7%95%d7%a3-%d7%94%d7%a9%d7%a0%d7%99%d7%a6%d7%9c/,אלוף השניצל,מזנון בשרי/חלבי,חשמונאים 119,,
1727827200,https://rabanut.co.il/business/%d7%90%d7%9c%d7%97%d7%a0%d7%99%d7%aa-%d7%9e%d7%95%d7%a2%d7%93%d7%95%d7%9f-%d7%91%d7%a0%d7%a7-%d7%94%d7%a4%d7%95%d7%a2%d7%9c%d7%99%d7%9d/,אלחנית מועדון בנק הפועלים,מזנון בשרי/חלבי,הנגב 11,,
1727827200,https://rabanut.co.il/business/%d7%90%d7%9c%d7%99%d7%90%d7%a1-%d7%a9%d7%95%d7%95%d7%90%d7%a8%d7%9e%d7%94-%d7%90%d7%99%d7%a8%d7%95%d7%a2%d7%99-%d7%a7%d7%95%d7%a0%d7%a1%d7%a4%d7%98-%d7%91%d7%a9%d7%a8%d7%99%d7%99%d7%9d/,אליאס שווארמה אירועי קונספט בשריים,מסעדה בשרית,שונצינו 4,,
1727827200,https://rabanut.co.il/business/%d7%90%d7%9c%d7%99%d7%a0%d7%99/,אליני,מזנון חלבי,לינקולן 9,,
1727827200,https://rabanut.co.il/business/%d7%90%d7%9c%d7%99%d7%a1/,אליס,מפעל,"ריב""ל 13",,
1727827200,https://rabanut.co.il/business/%d7%90%d7%9c%d7%9b%d7%a1%d7%a0%d7%93%d7%a8-%d7%a2%d7%9c%d7%99%d7%9d-%d7%99%d7%a8%d7%95%d7%a7%d7%99%d7%9d/,אלכסנדר עלים ירוקים,מסעדה חלבית,אוניברסיטת תל אביב,,
1727827200,https://rabanut.co.il/business/%d7%90%d7%9c%d7%9e%d7%96-%d7%9e%d7%a0%d7%93%d7%9c/,אלמז מנדל,מסעדה,ידידיה פרנקל 4,,
1727827200,https://rabanut.co.il/business/%d7%90%d7%9e%d7%99%d7%92%d7%94/,אמיגה,מזנון בשרי/חלבי,נוריאל 8,,
1727827200,https://rabanut.co.il/business/%d7%90%d7%9e%d7%99%d7%a8-%d7%92%d7%a8%d7%99%d7%9c-%d7%91%d7%a9%d7%a8%d7%99%d7%9d/,אמיר גריל בשרים,מסעדה בשרית,העליה 53,,
